pelvis,shoulder,elbow,wrist,x,y,z
-1.57,-1.32,0.42999999999999994,1.0,-0.060556618638255,0.09215003997979268,-0.018992718501235906
-1.57,-1.32,0.42999999999999994,1.25,-0.06054408858754293,0.10788484652377048,0.03815102833478881
-1.57,-1.32,0.42999999999999994,1.5,-0.06054320620567972,0.1089929113061531,0.09741116913868594
-1.57,-1.32,0.42999999999999994,1.57,-0.06054507189190683,0.10665004673760356,0.11388100509510274
-1.57,-1.32,0.6799999999999999,0.0,-0.06062365164458323,0.007972297137951896,-0.13258110066833925
-1.57,-1.32,0.6799999999999999,0.25,-0.06058346551149452,0.058436660326212045,-0.1014951146052214
-1.57,-1.32,0.6799999999999999,0.5,-0.060550653054269335,0.09964141508219493,-0.05889042935488506
-1.57,-1.32,0.6799999999999999,0.75,-0.060527254392573365,0.12902464932716012,-0.007415997893756715
-1.57,-1.32,0.6799999999999999,1.0,-0.060514724341861295,0.14475945587113773,0.04972774894226831
-1.57,-1.32,0.6799999999999999,1.25,-0.06051384195999809,0.1458675206535206,0.10898788974616541
-1.57,-1.32,0.6799999999999999,1.5,-0.06052466210921425,0.1322799495729643,0.16667991598457615
-1.57,-1.32,0.6799999999999999,1.57,-0.060529714590312415,0.12593521765817936,0.18205811047224515
-1.57,-1.32,0.9299999999999999,0.0,-0.06055729490954503,0.09130080176325325,-0.08115535896486839
-1.57,-1.32,0.9299999999999999,0.25,-0.06052448245231984,0.13250555651923615,-0.03855067371453205
-1.57,-1.32,0.9299999999999999,0.5,-0.06050108379062387,0.1618887907642012,0.012923757746596404
-1.57,-1.32,0.9299999999999999,0.75,-0.0604885537399118,0.177623597308179,0.07006750458262112
-1.57,-1.32,0.9299999999999999,1.0,-0.06048767135804859,0.17873166209056165,0.12932764538651845
-1.57,-1.32,0.9299999999999999,1.25,-0.06049849150726475,0.16514409101000557,0.18701967162492913
-1.57,-1.32,0.9299999999999999,1.5,-0.06052034144308856,0.13770569342596822,0.2395565725331372
-1.57,-1.32,0.9299999999999999,1.57,-0.06052826658025438,0.1277535788651996,0.2528869839018898
-1.57,-1.32,1.05,0.0,-0.06052954739004752,0.12614518199772567,-0.049471296078941296
-1.57,-1.32,1.05,0.25,-0.0605010324049999,0.16195331906268184,-0.002240282927927717
-1.57,-1.32,1.05,0.5,-0.060482709070606835,0.1849631319150577,0.05238151009639841
-1.57,-1.32,1.05,0.75,-0.06047571664305325,0.1937439818379103,0.11099796446013965
-1.57,-1.32,1.05,1.0,-0.06048048987761716,0.1877499181123916,0.1699645929351419
-1.57,-1.32,1.05,1.25,-0.06049673199769216,0.16735362258917907,0.2256151361630528
-1.57,-1.32,1.05,1.5,-0.06052343314691942,0.13382323813605362,0.2744895129049868
-1.57,-1.32,1.05,1.57,-0.06053257208003055,0.12234688039207434,0.28653267045235525
-1.57,-1.07,-1.57,0.0,-0.06101601044550956,-0.48473838458785024,0.4505290769353812
-1.57,-1.07,-1.57,0.25,-0.06103339037031131,-0.5065634961367536,0.39542321245387235
-1.57,-1.07,-1.57,0.5,-0.061039373347554556,-0.5140767130935577,0.33663083512821695
-1.57,-1.07,-1.57,0.75,-0.0610335873846924,-0.5068109000175643,0.27780737022427227
-1.57,-1.07,-1.57,1.0,-0.06101639222487176,-0.48521780997444386,0.22261017588294305
-1.57,-1.07,-1.57,1.25,-0.06098885697984687,-0.4506399967186464,0.17447114630510732
-1.57,-1.07,-1.57,1.5,-0.0609526936577886,-0.4052273412035002,0.13638333319231405
-1.57,-1.07,-1.57,1.57,-0.06094131696481982,-0.39094088162824225,0.12786033737663943
-1.57,-1.07,-1.32,0.0,-0.06104466327337498,-0.520719619920438,0.35945986765467197
-1.57,-1.07,-1.32,0.25,-0.06105064625061823,-0.5282328368772424,0.30066749032901663
-1.57,-1.07,-1.32,0.5,-0.061044860287756075,-0.5209670238012486,0.24184402542507183
-1.57,-1.07,-1.32,0.75,-0.061027665127935435,-0.4993739337581288,0.18664683108374275
-1.57,-1.07,-1.32,1.0,-0.06100012988291054,-0.4647961205023309,0.1385078015059069
-1.57,-1.07,-1.32,1.25,-0.06096396656085227,-0.4193834649871849,0.10041998839311359
-1.57,-1.07,-1.32,1.5,-0.06092142362197198,-0.3659595061799992,0.07475150748939138
-1.57,-1.07,-1.32,1.57,-0.06090872145009084,-0.35000855579433443,0.07002799875673109
-1.57,-1.07,-1.07,0.0,-0.06105448341030762,-0.5330514099842758,0.2623198766445654
-1.57,-1.07,-1.07,0.25,-0.06104869744744547,-0.5257855969082822,0.2034964117406206
-1.57,-1.07,-1.07,0.5,-0.06103150228762483,-0.5041925068651619,0.1482992173992916
-1.57,-1.07,-1.07,0.75,-0.06100396704259994,-0.4696146936093646,0.1001601878214558
-1.57,-1.07,-1.07,1.0,-0.06096780372054166,-0.42420203809421814,0.06207237470866252
-1.57,-1.07,-1.07,1.25,-0.060925260781661376,-0.37077807928703266,0.03640389380494019
-1.57,-1.07,-1.07,1.5,-0.060878983339845275,-0.3126644601916989,0.024750686929615642
-1.57,-1.07,-1.07,1.57,-0.060865745448577376,-0.29604077183343525,0.024120350175023772
-1.57,-1.07,-0.8200000000000001,0.0,-0.061044860287756075,-0.5209670238012487,0.1651487980561696
-1.57,-1.07,-0.8200000000000001,0.25,-0.061027665127935435,-0.49937393375812855,0.10995160371484047
-1.57,-1.07,-0.8200000000000001,0.5,-0.06100012988291054,-0.4647961205023309,0.06181257413700479
-1.57,-1.07,-0.8200000000000001,0.75,-0.06096396656085227,-0.4193834649871849,0.023724761024211477
-1.57,-1.07,-0.8200000000000001,1.0,-0.06092142362197198,-0.365959506179999,-0.0019437198795107524
-1.57,-1.07,-0.8200000000000001,1.25,-0.06087514618015588,-0.30784588708466554,-0.013596926754835537
-1.57,-1.07,-0.8200000000000001,1.5,-0.060828011542594956,-0.2486558310677916,-0.010510319639645077
-1.57,-1.07,-0.8200000000000001,1.57,-0.060815060999902644,-0.2323929851635197,-0.007008293129754484
-1.57,-1.07,-0.5700000000000001,0.0,-0.06101639222487176,-0.48521780997444397,0.07398825891564019
-1.57,-1.07,-0.5700000000000001,0.25,-0.06098885697984687,-0.4506399967186465,0.025849229337804452
-1.57,-1.07,-0.5700000000000001,0.5,-0.0609526936577886,-0.4052273412035002,-0.012238583774988904
-1.57,-1.07,-0.5700000000000001,0.75,-0.06091015071890831,-0.3518033823963147,-0.0379070646787113
-1.57,-1.07,-0.5700000000000001,1.0,-0.06086387327709221,-0.29368976330098084,-0.049560271554035834
-1.57,-1.07,-0.5700000000000001,1.25,-0.060816738639531284,-0.23449970728410702,-0.046473664438845624
-1.57,-1.07,-0.5700000000000001,1.5,-0.060771677409696155,-0.17791336534644486,-0.028839153613824026
-1.57,-1.07,-0.5700000000000001,1.57,-0.0607598194175991,-0.1630225068866782,-0.021422502886046108
